name,sity,country
sfranklinlv,Pereira Barreto,Brazil
jbankslw,Adir,Jordan
lsanchezlx,Fangshan,China
epalmerly,Šenčur,Slovenia
tlopezlz,Yangxi,China
jmendozam0,Tatarbunary,Ukraine
sbennettm1,Socos,Peru
dgardnerm2,Wonokromo,Indonesia
jgarciam3,Huangjindong,China
rfreemanm4,Shagamu,Nigeria
dramirezm5,Ylöjärvi,Finland
poliverm6,Grimshaw,Canada
doliverm7,Penamacor,Portugal
jfrazierm8,El Espino,Panama
skelleym9,Almelo,Netherlands
dwilliamsma,Järfälla,Sweden
lbradleymb,Balpyk Bī,Kazakhstan
jmartinezmc,Daping,China
mmyersmd,Marietta,United States
aholmesme,El Bagre,Colombia
jbrownmf,Dipayal,Nepal
cgomezmg,Rizhao,China
lrichardsmh,Brněnec,Czech Republic
dlarsonmi,Lishu,China
lalvarezmj,Chŏngju,North Korea
ecolemanmk,Bastak,Iran
ehernandezml,Hilotongan,Philippines
swestmm,Severnyy,Russia
npaynemn,Taketoyo,Japan
cnelsonmo,Shah Alam,Malaysia
jarmstrongmp,Bobowo,Poland
bricemq,Tučepi,Croatia
sfloresmr,Lahoysk,Belarus
kdavisms,Shiren,China
rramosmt,Kihurio,Tanzania
djamesmu,Ecroignard,Mauritius
lmurphymv,Umeå,Sweden
whowardmw,Suncheon,South Korea
tgarciamx,Ilihan,Philippines
mfieldsmy,Bélel,Cameroon
lstephensmz,Tomingad,Philippines
rhayesn0,Kökar,Aland Islands
pmorrisn1,Galleh Manda,Gambia
bgonzalesn2,Banī Zayd,Palestinian Territory
lcarpentern3,Guanchao,China
phansenn4,Santa Monica,Philippines
rortizn5,Mengcheng Chengguanzhen,China
wfullern6,Karangpawitan,Indonesia
bburken7,Ostrówek,Poland
jrichardsn8,Marteleira,Portugal
hwrightn9,Naval,Philippines
vsimmonsna,Canelas,Portugal
asnydernb,Pakuranga,New Zealand
cryannc,Jinquan,China
ahuntnd,Cigemlong,Indonesia
sfoxne,Kerrouchen,Morocco
bcoxnf,Arjawinangun,Indonesia
blaneng,Monte Francisco,Portugal
pallennh,Indianapolis,United States
kfergusonni,Agrela,Portugal
cbarnesnj,Tianzhu,China
acarpenternk,Muskegon,United States
ghudsonnl,Matsue-shi,Japan
atorresnm,Had Kourt,Morocco
arileynn,Black River,Jamaica
khernandezno,Saint-Félicien,Canada
kcarpenternp,Kindu,Democratic Republic of the Congo
agardnernq,Taocheng,China
charrisonnr,Boden,Sweden
abrooksns,Pueblo Nuevo,Honduras
jhowellnt,Ban Na,Thailand
rbradleynu,Nangang,China
framosnv,Västerås,Sweden
rmorrisonnw,Taloqan,Afghanistan
dwheelernx,Mbanza Congo,Angola
fhawkinsny,Stockton,United States
wpattersonnz,Rouen,France
jmorriso0,Rozwadza,Poland
sboydo1,Janas,Portugal
rgarzao2,Strellc i Ulët,Kosovo
kpeterso3,Quinta,Portugal
cwhiteo4,Javhlant,Mongolia
bholmeso5,Belawang,Indonesia
ktayloro6,Gap,France
gbennetto7,Agalteca,Honduras
lwheelero8,Parang,Indonesia
jweavero9,Maglajani,Bosnia and Herzegovina
drobinsonoa,Tangdong,China
trogersob,Sakon Nakhon,Thailand
jwillisoc,La Joya,Mexico
selliottod,Gaïtánion,Greece
trossoe,Challas,Peru
bwoodof,كاف الجاع,Syria
adanielsog,Eastern Suburbs Mc,Australia
rowensoh,Tongguan,China
rmartinoi,Nangang,China
jlynchoj,Krajan,Indonesia
jblackok,Ukata,Nigeria
awatkinsol,Pecoro,Indonesia
rdayom,Tamaki,New Zealand
fharton,Al Misrākh,Yemen
mfreemanoo,Hebeitun,China
ckimop,Santa Cruz,Honduras
bfloresoq,Motema,Sierra Leone
egonzalesor,Hengdian,China
chuntos,Jianxincun,China
rreidot,Kura,Nigeria
slynchou,Guangli,China
smorenoov,Parachinar,Pakistan
jhendersonow,Dmanisi,Georgia
cellisox,Al Buţayḩah,Syria
pwashingtonoy,Saltsjöbaden,Sweden
sgarciaoz,Ruše,Slovenia
dtorresp0,Bella Vista,Argentina
aburtonp1,Gaogu,China
kgonzalezp2,Huangmu,China
rnguyenp3,Tancheng,China
solsonp4,Samur,Azerbaijan
candrewsp5,Fuchang,China
sshawp6,Zeewolde,Netherlands
aholmesp7,Shahe,China
dmorganp8,Madur,Indonesia
mwilsonp9,Zamora,Ecuador
ckennedypa,Belén,Costa Rica
mmoorepb,Marshintsy,Ukraine
greyespc,Dayton,United States
jgordonpd,Markaz Mudhaykirah,Yemen
psullivanpe,Narok,Kenya
drodriguezpf,Pankshin,Nigeria
jhawkinspg,Haolibao,China
jjenkinsph,Gaigeturi,South Korea
bscottpi,Tārūt,Saudi Arabia
eboydpj,Nizhnyaya Maktama,Russia
mramirezpk,Ribeira Seca,Portugal
jrileypl,Angoulême,France
scarrollpm,Erie,United States
howenspn,Zhinvali,Georgia
ecoxpo,Malaya Purga,Russia
dweaverpp,Yuejin,China
chansonpq,Khadan Khāk,Pakistan
ehudsonpr,Guyancourt,France
mhartps,Cidadap,Indonesia
ssmithpt,Żabnica,Poland
wbakerpu,Lirung,Indonesia
ewallacepv,Pā’īn-e Bāzār-e Rūdbār,Iran
mmedinapw,Tungawan,Philippines
jcoxpx,Voyinka,Ukraine
spricepy,Ozëry,Russia
rwoodspz,Batanghari,Indonesia
rpowellq0,Kawasaki,Japan
fpriceq1,Petrozavodsk,Russia
ssmithq2,Itaguaí,Brazil
gberryq3,Bagumbayan,Philippines
epalmerq4,Dizhai,China
hwoodq5,Yunhe,China
cjonesq6,Beaumont,Canada
mrussellq7,Mikumi,Tanzania
wbennettq8,Pantai Ceuremen,Indonesia
randersonq9,Ostrožská Nová Ves,Czech Republic
jgreenqa,Ikoma,Japan
jrayqb,Balaoang,Philippines
mgrahamqc,Qarchī Gak,Afghanistan
ahansonqd,Yufa,China
jsullivanqe,Miaogou,China
kcunninghamqf,Domalanoan,Philippines
jhansonqg,Borucin,Poland
jrichardsqh,San Rafael,Philippines
bpetersonqi,Huyang,China
jperryqj,Velyki Mezhyrichi,Ukraine
dhartqk,Bang Lamung,Thailand
awelchql,Yanaoca,Peru
tweaverqm,Kigoma,Tanzania
amillsqn,Horní Jiřetín,Czech Republic
sberryqo,Pasirpengarayan,Indonesia
lhawkinsqp,Igarapé Açu,Brazil
charveyqq,Qarqīn,Afghanistan
dcastilloqr,Looc,Philippines
nmasonqs,Baojia,China
khamiltonqt,Marshintsy,Ukraine
jcooperqu,Iperó,Brazil
jgordonqv,Kalampáka,Greece
hhillqw,Finspång,Sweden
lmendozaqx,Lipiany,Poland
dwilliamsqy,Zhangqing,China
lfowlerqz,Girona,Spain
ggonzalesr0,Uji,Japan
tblackr1,Paris 17,France
jfrazierr2,Muaratiga,Indonesia
chunterr3,Sabnova,Russia
pgrayr4,Laweueng,Indonesia
rwashingtonr5,Nāḩiyat as Sab‘ Biyār,Syria
abaileyr6,Beiwa,China
dwilliamsr7,Ash Shuyūkh,Palestinian Territory
sellisr8,Marseille,France
cdayr9,Ningde,China
maustinra,Spirit River,Canada
kpowellrb,Izborsk,Russia
ralvarezrc,Anjirmuara,Indonesia
larnoldrd,Wąsosz,Poland
sgordonre,Panao,Peru
dburtonrf,Agía Varvára,Greece
pfieldsrg,Reutov,Russia
bedwardsrh,Lingsar,Indonesia
agreenri,Leticia,Colombia
ndeanrj,Shelabolikha,Russia
tmcdonaldrk,Beidaihehaibin,China
gduncanrl,Hexi,China
chansenrm,La Cuesta,Peru
nmeyerrn,Al ‘Āliyah,Tunisia
jkingro,Buriti Alegre,Brazil
mlopezrp,Kinsealy-Drinan,Ireland
rowensrq,Mir,Belarus
elittlerr,Grenoble,France
